Country,Year,GHG Energy,GHG Fugi,GHG FC,GHG FC - Coal,GHG FC - Oil,GHG FC - Gas,CO2 MARBUNK,CO2 AVBUNK,CO2-TES,CO2-GDP,CO2-GDP PPP,CO2-POP,iso_code,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_generation,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_electricity,other_renewable_exc_biofuel_electricity,renewables_electricity,solar_electricity,wind_electricity,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita,other_renewables_share_elec,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,gdp,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
Canada,1971,365.9239493,20306.45885,345.6174905,64.35598819,211.748862,68.3526568,3.099452497,1.265993236,57.486,0.719,0.702,15.492,CAN,0.0,,9.328,50.387,7.273,59.169,3.131,57.614,,,,0.0,0.0,0.0,0.0,,,-4.95,9.86,-9.746,187.127,,8614.227,,,,,,,,,,,,,,,,4.333,87362.574,2.62,75.596,36.631,1434.643,66042.604,,,,6.735,19.479,23.327,369.666,,17017.242,590.55,27185.493,,2.734,23.779,12.011,451.281,,20774.337,,,,4.746,24.404,20.983,463.134,21319.97,,311.475,0.625,8.972,11.853,,545.633,,2.697,46.257,23.05,877.851,,40411.135,872.736,40175.649,,,,0.0,0.0,0.0,0.0,,21723000.0,1897.777,,,2.734,23.779,12.011,451.281,20774.337,,,0.0,0.0,0.0,,0.0,438000000000.0,,,0.0,0.0,0.0,,0.0
Chile,1971,22.12535185,414.9545125,21.71039734,5.167808865,14.78051651,1.324191205,0.606738605,0.438639753,57.724,0.466,0.279,2.161,CHL,0.0,,0.0,,0.0,,8.101,7.26,,,,0.0,0.0,0.0,0.0,,,-3.429,14.872,-0.512,14.41,,1449.219,,,,,,,,,,,,,,,,1.365,9744.555,7.317,86.024,5.683,83.348,8382.624,,,,1.979,6.759,0.127,6.549,,658.68,,,,11.655,13.787,1.394,13.358,,1343.492,,,,13.188,13.976,1.578,13.542,1361.931,,,0.0,0.0,0.0,,0.0,,10.773,64.392,6.067,62.39,,6274.725,,,,,,0.189,0.183,0.183,18.438,,9943000.0,96.89,,,13.188,13.976,1.578,13.542,1361.931,,,0.0,0.0,0.0,,0.0,71006216192.0,,,0.0,0.0,0.0,,0.0
Colombia,1971,32.4842731,4042.903628,28.44136947,6.174544004,18.22757603,2.628954286,0.958218915,0.599886475,45.999,,,1.213,COL,0.0,,4.092,0.511,-0.715,-0.977,-1.715,-2.052,,,,0.0,0.0,0.0,0.0,,,-22.233,17.243,-5.8,20.286,,921.937,,,,,,,,,,,,,,,,1.182,5346.834,-2.995,84.834,-3.082,99.809,4535.944,,,,4.092,11.053,0.511,13.005,,591.007,13.005,591.007,,6.124,15.166,1.03,17.843,,810.89,,,,6.124,15.166,1.03,17.843,810.89,,,0.0,0.0,0.0,,0.0,,3.431,56.538,2.207,66.518,,3023.0,135.569,6161.107,,,,0.0,0.0,0.0,0.0,,22004000.0,117.652,,,6.124,15.166,1.03,17.843,810.89,,,0.0,0.0,0.0,,0.0,99496329216.0,,,0.0,0.0,0.0,,0.0
Costa Rica,1971,,,1.343074986,0.002506452,1.291324321,0.0,0.099567243,0.0,37.704,0.139,0.095,0.692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,1971,117.9441285,21252.6893,96.69143921,5.206264152,70.06945173,19.58605364,0.258252769,1.403116037,52.102,0.335,0.176,1.754,MEX,0.0,,-1.017,-1.121,-0.296,-0.832,5.201,20.875,,,,0.0,0.0,0.0,0.0,,,25.543,3.721,3.196,15.709,,295.965,,,,,,,,,,,,,,,,1.206,7954.97,6.138,90.413,22.078,381.74,7192.332,,,,3.932,24.536,3.919,103.595,,1951.816,109.182,2057.085,,-2.886,9.587,-1.203,40.478,,762.639,,,,-2.886,9.587,-1.203,40.478,762.639,,,0.0,0.0,0.0,,0.0,,6.046,62.157,14.962,262.437,,4944.551,279.913,5273.815,,,,0.0,0.0,0.0,0.0,,53076000.0,422.218,,,-2.886,9.587,-1.203,40.478,762.639,,,0.0,0.0,0.0,,0.0,350000000000.0,,,0.0,0.0,0.0,,0.0
United States,1971,4603.656279,264777.7565,4338.878522,1112.829169,2024.817817,1197.765398,23.59087962,15.50762078,64.525,0.801,0.801,20.651,USA,0.0,,2.835,161.983,-1.425,-88.268,2.079,382.344,,,,0.0,0.0,0.0,0.0,,,-5.431,17.199,-185.459,3229.203,,15276.48,,,,,,,,,,,,,,,,3.703,88822.025,1.602,95.133,281.599,17861.808,84499.34,,,,3.094,31.565,177.868,5926.531,,28036.8,5876.611,27800.641,,7.401,4.028,52.116,756.262,,3577.668,,,,12.392,4.867,100.745,913.746,4322.685,,74.756,0.593,47.661,111.417,,527.083,,3.436,46.369,289.189,8706.074,,41186.06,6106.147,28886.515,,,2.147,0.245,0.968,46.068,217.934,,211384000.0,18775.555,,,7.085,4.273,53.084,802.33,3795.602,,,0.0,0.0,0.0,,0.0,5070000000000.0,,,0.0,0.0,0.0,,0.0
Australia,1971,152.6403148,6837.714695,145.8026002,75.65644928,65.2865156,4.005109765,5.152768116,1.59087494,66.342,0.451,0.499,10.863,AUS,0.0,,49.253,8.523,75.257,76.062,5.01,28.466,,,,0.0,0.0,0.0,0.0,,,0.378,38.98,0.875,232.57,,17844.674,,,,,,,,,,,,,,,,2.26,45778.934,4.59,94.52,24.747,563.941,43270.248,,,,49.253,4.329,8.523,25.827,,1981.639,25.827,1981.639,,13.143,5.358,3.713,31.965,,2452.631,,,,12.834,5.48,3.719,32.696,2508.686,,,0.0,0.0,0.0,,0.0,,5.289,51.211,15.349,305.545,,23443.935,177.132,13591.063,,,0.766,0.122,0.006,0.731,56.054,,13033000.0,596.637,,,12.834,5.48,3.719,32.696,2508.686,,,0.0,0.0,0.0,,0.0,264000000000.0,,,0.0,0.0,0.0,,0.0
Israel,1971,13.90206571,12.7026475,13.88936306,0.022977732,13.83222933,0.032800045,0.0,1.810801528,57.262,0.297,0.3,4.517,ISR,,,0.0,,0.0,,4.054,2.338,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,1.439,20692.571,4.054,100.0,2.338,60.008,20692.571,,,,-6.396,2.01,-0.082,1.206,,415.957,,,,,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,4.293,97.99,2.42,58.802,,20276.614,,,,,,0.0,0.0,0.0,0.0,,2900000.0,60.008,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,41709248512.0,,,0.0,0.0,0.0,,0.0
Japan,1971,762.0271271,5242.597525,756.7845296,202.7778602,545.4191035,8.587565906,50.45768772,3.834008722,67.048,0.49,0.419,7.154,JPN,0.0,,0.0,,0.0,,6.463,210.523,,,,0.0,0.0,0.0,0.0,,,-9.204,18.387,-64.639,637.667,,5991.586,,,,,,,,,,,,,,,,2.425,32586.69,5.818,92.596,176.573,3211.31,30173.829,,,,7.223,1.104,2.58,38.302,,359.888,,,,11.671,6.744,24.444,233.889,,2197.648,,,,15.235,7.404,33.95,256.794,2412.861,,74.853,0.642,9.525,22.25,,209.064,,10.39,73.105,238.632,2535.342,,23822.355,,,,,-2.922,0.019,-0.02,0.654,6.15,,106427000.0,3468.104,,,11.624,6.763,24.425,234.544,2203.797,,,0.0,0.0,0.0,,0.0,1430000000000.0,,,0.0,0.0,0.0,,0.0
Korea,1971,55.81719641,1069.310072,54.74788633,23.77285235,30.97503398,0.0,1.542673945,0.0,74.507,0.751,0.569,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
